arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
341.8,57517,1,0,1,David,3400 David Ave,3400 David Ave,49.293049,-122.752199,49.291740,-122.750168
341.1,38580,1,0,1,Eagle Mountain,1550 Eagle Mountain Dr,1550 Eagle Mountain Dr,49.303285,-122.815819,49.302589,-122.815103
341.1,23762,1,0,1,Victoria,3717 Victoria Dr,3717 Victoria Dr,49.297366,-122.717069,49.298788,-122.716564
339.2,29938,9,8,1,Burbidge,11 Burbidge St,11 Burbidge St 204,49.224214,-122.823786,49.224447,-122.821402
338.8,34786,1,0,1,Robinson,621 Robinson St,621 Robinson St,49.255640,-122.879886,49.253698,-122.879092
338.5,35538,1,0,1,Harper,3502 Harper Rd,3502 Harper Rd,49.304091,-122.743927,49.302545,-122.742725
336.4,65523,41,40,1,Lougheed,3025 Lougheed Hwy,3025 Lougheed Hwy 980,49.274248,-122.792092,49.276263,-122.791854
335.7,18134,1,0,1,Gislason,3551 Gislason Ave,3551 Gislason Ave,49.289418,-122.737524,49.290816,-122.736588
334.5,60465,1,0,1,Coy,3311 Coy Ave,3311 Coy Ave,49.305703,-122.763241,49.304733,-122.764750
333.8,16359,1,0,1,Quarry,4948 Quarry Rd,4948 Quarry Rd,49.325910,-122.672328,49.324146,-122.670403
332.2,104933,3,0,3,Pipeline,1865 Pipeline Rd,1990 Pipeline Rd,49.329546,-122.773957,49.330315,-122.774584
332.2,17182,1,1,1,Lansdowne,2885 Lansdowne Dr Lot Q,2885 Lansdowne Dr Lot Q,49.292505,-122.811053,49.293590,-122.808830
329.7,39820,1,0,1,Panorama,2775 Panorama Dr,2775 Panorama Dr,49.297453,-122.814893,49.298882,-122.814889
328.8,6026,1,0,1,Robson,3095 Robson Dr,3095 Robson Dr,49.297219,-122.784082,49.298769,-122.784101
328.3,10717,1,0,1,David,2925 David Ave,2925 David Ave,49.295564,-122.793257,49.296615,-122.791397
327.8,33775,1,0,1,Cedar,4196 Cedar Dr,4196 Cedar Dr,49.288538,-122.724233,49.286963,-122.723430
327.6,14563,1,0,0,North,North Rd,North Rd,49.238127,-122.892518,49.237321,-122.891272
325.9,25171,1,1,1,Lansdowne,1358 Lansdowne Dr A,1358 Lansdowne Dr A,49.290405,-122.814791,49.291834,-122.815327
325.8,40636,1,0,1,United,2450 United Blvd,2450 United Blvd,49.226060,-122.821776,49.225848,-122.819850
323.6,13819,1,0,0,Glen,Glen Dr,Glen Dr,49.282736,-122.801389,49.284245,-122.801008
323.5,56662,1,0,1,Parkway,2231 Parkway Blvd,2231 Parkway Blvd,49.317962,-122.795810,49.317935,-122.794091
323.2,6387,1,0,1,Pipeline,1760 Pipeline Rd,1760 Pipeline Rd,49.321962,-122.773440,49.321865,-122.775698
323.2,8421,1,0,1,Lincoln,3795 Lincoln Ave,3795 Lincoln Ave,49.278548,-122.714271,49.278896,-122.710581
323.1,26909,2,0,2,Golden,145 Golden Dr,151 Golden Dr,49.233306,-122.821469,49.234663,-122.822346
322.0,18510,1,0,1,Fremont,1153 Fremont St,1153 Fremont St,49.278516,-122.732376,49.280839,-122.732371
321.8,51342,2,0,2,Barnet,2920 Barnet Hwy,2930 Barnet Hwy,49.276729,-122.799450,49.275374,-122.799965
321.4,17253,1,0,1,Quarry,4964 Quarry Rd,4964 Quarry Rd,49.325910,-122.672328,49.324663,-122.670259
321.1,26326,1,0,1,Litchfield,3615 Litchfield Ave,3615 Litchfield Ave,49.293120,-122.729464,49.293597,-122.731606
321.1,49886,171,169,4,Dayanee Springs,1357 Purcell Dr 68,3105 Dayanee Springs Blvd 236,49.293998,-122.785225,49.294701,-122.783129
318.7,13076,1,1,1,Lansdowne,1358 Lansdowne Dr B,1358 Lansdowne Dr B,49.290403,-122.814204,49.291960,-122.814466
318.4,16316,1,0,1,Monson,3546 Monson Cres,3546 Monson Cres,49.287026,-122.737355,49.287596,-122.735489
318.3,31614,1,0,1,Dewdney Trunk,2770 Dewdney Trunk Rd,2770 Dewdney Trunk Rd,49.275461,-122.807497,49.274056,-122.806863
317.9,24726,172,167,5,Cottonwood,538 Cottonwood Ave,675 Whiting Way 320,49.257747,-122.891887,49.258115,-122.890241
316.8,30543,1,0,1,Brownlee,3580 Brownlee Ave,3580 Brownlee Ave,49.297382,-122.732807,49.296552,-122.734017
316.5,191,1,0,1,Quarry,4980 Quarry Rd,4980 Quarry Rd,49.325910,-122.672328,49.325604,-122.668094
313.3,79962,1,0,1,Poirier,955 Poirier St,955 Poirier St,49.268497,-122.846384,49.268686,-122.844503
312.6,29220,1,0,1,Colony Farm,65 Colony Farm Rd,65 Colony Farm Rd,49.230125,-122.807571,49.230220,-122.805164
311.6,46258,1,0,0,Moray,Moray St,Moray St,49.271442,-122.834918,49.270838,-122.836229
310.0,5991,2,0,2,Cape Horn,2271 Cape Horn Ave,2273 Cape Horn Ave,49.233165,-122.830844,49.234528,-122.831760
309.4,22505,57,56,1,Panorama,2979 Panorama Dr,2979 Panorama Dr 99,49.299493,-122.801043,49.301188,-122.800429
308.4,23248,1,0,1,Christmas,2990 Christmas Way,2990 Christmas Way,49.273654,-122.795805,49.272367,-122.795086
308.4,17203,1,0,1,Quarry,4972 Quarry Rd,4972 Quarry Rd,49.325910,-122.672328,49.325230,-122.670194
308.3,15335,48,47,1,Johnson,1216 Johnson St,1216 Johnson St 9,49.285707,-122.801733,49.285442,-122.803923
307.9,141,1,0,0,Leeder,Leeder St,Leeder St,49.224277,-122.829904,49.224488,-122.825779
307.4,33708,1,0,1,Rogers,2300 Rogers Ave,2300 Rogers Ave,49.224610,-122.828089,49.223363,-122.828901
306.1,25394,1,0,1,United,1903 United Blvd,1903 United Blvd,49.228455,-122.837420,49.228604,-122.839387
305.4,47845,1,0,1,Harper,3511 Harper Rd,3511 Harper Rd,49.301442,-122.741160,49.302004,-122.740326
305.4,28797,1,0,1,Lincoln,3661 Lincoln Ave,3661 Lincoln Ave,49.278542,-122.724084,49.279421,-122.724767
304.7,40164,1,0,1,Regan,2161 Regan Ave,2161 Regan Ave,49.261609,-122.835234,49.262191,-122.833426
